### BEGIN 10.14.10.80
Route Flags: R - relay, D - download to fib, T - to vpn-instance, B - black hole route
------------------------------------------------------------------------------
Routing Table : _public_
         Destinations : 107      Routes : 107       

Destination/Mask    Proto   Pre  Cost        Flags NextHop         Interface

  100.104.136.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.104.137.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.104.138.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.104.139.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.104.140.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.104.141.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.104.142.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.104.143.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.131.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.132.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.133.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.134.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.135.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.136.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.137.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.138.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.139.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.140.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.141.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.142.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.105.143.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
      127.0.0.0/8   Direct  0    0             D   127.0.0.1       InLoopBack0
      127.0.0.1/32  Direct  0    0             D   127.0.0.1       InLoopBack0
127.255.255.255/32  Direct  0    0             D   127.0.0.1       InLoopBack0
     172.20.1.1/32  Direct  0    0             D   127.0.0.1       LoopBack0
     172.20.1.2/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
     172.20.1.3/32  OSPF    10   2             D   172.21.1.2      GigabitEthernet0/1/0
     172.21.1.0/30  Direct  0    0             D   172.21.1.1      GigabitEthernet0/1/0
     172.21.1.1/32  Direct  0    0             D   127.0.0.1       GigabitEthernet0/1/0
     172.21.1.3/32  Direct  0    0             D   127.0.0.1       GigabitEthernet0/1/0
     172.21.1.4/30  OSPF    10   2             D   172.21.1.2      GigabitEthernet0/1/0
     172.31.1.0/24  Unr     61   0             DB  127.0.0.1       NULL0
     172.31.1.1/32  Unr     61   0             D   127.0.0.1       InLoopBack0
   192.168.60.0/24  Direct  0    0             D   192.168.60.1    GigabitEthernet0/1/0.601
   192.168.60.1/32  Direct  0    0             D   127.0.0.1       GigabitEthernet0/1/0.601
 192.168.60.255/32  Direct  0    0             D   127.0.0.1       GigabitEthernet0/1/0.601
255.255.255.255/32  Direct  0    0             D   127.0.0.1       InLoopBack0
### END 10.14.10.80
